Ticker,Altman Z-Score,Total Assets,Retained Earnings,Market Cap
RALS,3.69,4531442000000.0,3749312000000.0,2360000000000.0
SCMA,5.96,10415522000000.0,5702702000000.0,12830000000000.0
SMSM,8.7,5716543000000.0,3721756000000.0,9900000000000.0
SPTO,2.87,3363145000000.0,740035000000.0,1670000000000.0
TOTO,4.21,3385253000000.0,2264539000000.0,2460000000000.0
DVLA,3.25,2606431000000.0,1230300000000.0,1790000000000.0
EPMT,4.68,14269725000000.0,7889081000000.0,6500000000000.0
HEAL,3.87,11992249000000.0,3177778000000.0,10440000000000.0
KLBF,7.44,33078098000000.0,26357160000000.0,34159999999999.996
MARK,16.95,1024525000000.0,738297000000.0,4090000000000.0
MIKA,13.43,9983144000000.0,6592390000000.0,26740000000000.0
PRDA,6.85,2642712000000.0,1224329000000.0,2380000000000.0
SIDO,37.54,3260699000000.0,1142984000000.0,10480000000000.0
SILO,5.02,15832534000000.0,4475050000000.0,28050000000000.0
TSPC,4.62,14198435000000.0,9112118000000.0,12450000000000.0
ADMF,,38617652000000.0,12577906000000.0,10700000000000.0
AMAG,,6309410000000.0,995093000000.0,1920000000000.0
ASDM,,1175212000000.0,306200000000.0,197760000000.0
BBCA,,1660579336000000.0,255755942000000.0,819970000000000.0
BBNI,,1461001157000000.0,121306386000000.0,147080000000000.0
BBRI,,2352380589000000.0,221595402000000.0,510820000000000.0
BBTN,,545161326000000.0,24297606000000.0,17190000000000.002
BDMN,,301303963000000.0,40931887000000.0,42320000000000.0
BFIN,,25060166000000.0,10289457000000.0,14010000000000.0
BMRI,,2527568193000000.0,217223936000000.0,406930000000000.0
BRIS,,464507837000000.0,31208799000000.0,83030000000000.0
DNAR,,14381163000000.0,558342000000.0,2260000000000.0
NISP,,329494447000000.0,35317512000000.0,28570000000000.0
PANS,,2203108000000.0,1342853000000.0,1130000000000.0
BBYB,,17453519000000.0,-1413403000000.0,3710000000000.0
SRTG,6.2,57540414000000.0,47930317000000.0,24460000000000.0
BKSL,2.79,21820632000000.0,1869218000000.0,12750000000000.0
BSDE,1.57,81942881000000.0,34311600000000.0,13700000000000.0
CTRA,1.85,46623520000000.0,16269931000000.0,11580000000000.0
DMAS,4.06,8790484000000.0,1807272000000.0,9740000000000.0
DUTI,2.74,16849864000000.0,8879995000000.0,8880000000000.0
PWON,2.42,37695717000000.0,21311715000000.0,13100000000000.0
RDTX,,3843123000000.0,3346078000000.0,3700000000000.0
SMRA,0.89,41303952000000.0,9022210000000.0,5320000000000.0
