Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
SCCO,UPTREND,ABOVE MA200,TERKONFIRMASI,54.0,105.98,96.52,0,-37.01 M,-89.42 M,-120.70 M,+1.43 B,+1.49 B,+1.50 B,+1.50 B
SKRN,UPTREND,BELOW MA200,TERKONFIRMASI,58.39,5.03,3.87,+1.49 M,+1.49 M,+3.49 M,-7.42 M,-7.42 M,+21.49 M,+47.88 M,+155.45 M
TOTL,UPTREND,ABOVE MA200,TERKONFIRMASI,67.68,57.89,62.12,+289.21 M,+289.21 M,+307.51 M,+198.10 M,+588.72 M,+754.28 M,+4.22 B,+3.17 B
UNTR,UPTREND,BELOW MA200,TERKONFIRMASI,45.13,302.32,404.57,-353.25 M,-7.06 B,-8.21 B,-8.29 B,-9.22 B,+3.36 B,+11.91 B,-48.13 B
CARS,UPTREND,ABOVE MA200,TERKONFIRMASI,75.76,4.98,5.21,+68.04 M,+72.40 M,+72.40 M,+72.40 M,+72.40 M,+283.06 M,+537.60 M,+487.55 M
GJTL,UPTREND,ABOVE MA200,TERKONFIRMASI,42.48,5.1,18.4,-135.33 M,-165.23 M,-116.05 M,-136.16 M,-201.57 M,+23.58 M,+5.52 B,+6.93 B
MPPA,DOWNTREND,BELOW MA200,TERKONFIRMASI,38.14,-1.88,-1.59,-10.01 M,+19.45 M,-5.83 M,-11.96 M,-11.96 M,-121.87 M,+60.19 M,+228.95 M
AALI,UPTREND,ABOVE MA200,TERKONFIRMASI,56.05,283.43,336.5,-527.88 M,-752.86 M,-659.97 M,-273.28 M,-259.25 M,+1.21 B,+5.27 B,-1.65 B
AMRT,DOWNTREND,BELOW MA200,TERKONFIRMASI,47.65,-16.78,-18.38,+226.45 M,-2.31 B,-1.78 B,-1.78 B,-1.15 B,-6.71 B,-7.04 B,-61.02 B
BUDI,UPTREND,ABOVE MA200,TERKONFIRMASI,56.54,1.6,2.44,+248600,+248600,+248600,+248600,+1.24 M,+98.47 M,+124.14 M,+114.38 M
CLEO,UPTREND,ABOVE MA200,TERKONFIRMASI,51.64,8.36,9.49,-59.26 M,-162.88 M,+10.47 M,-90.32 M,-59.70 M,+547.36 M,+1.43 B,+1.10 B
CMRY,DOWNTREND,BELOW MA200,DEATH CROSS 🩸,43.33,-48.96,-32.61,-64.28 M,+378.06 M,+361.41 M,+118.66 M,+427.92 M,+335.34 M,+1.31 B,-241.05 M
CPIN,DOWNTREND,BELOW MA200,TERKONFIRMASI,47.86,3.5,7.98,-831.76 M,+544.14 M,+544.14 M,+1.10 B,-247.80 M,-7.80 B,-5.40 B,-34.34 B
DSNG,UPTREND,ABOVE MA200,TERKONFIRMASI,59.41,65.31,75.42,-242.01 M,-118.91 M,+315.52 M,+277.14 M,+198.67 M,+2.07 B,+4.45 B,-2.36 B
GGRM,UPTREND,ABOVE MA200,TERKONFIRMASI,34.39,-459.66,-140.5,-128.10 M,+565.50 M,+280.52 M,+185.51 M,-2.64 B,-457.06 M,+9.39 B,+20.27 B
HMSP,UPTREND,BELOW MA200,TERKONFIRMASI,26.02,-20.93,-8.92,-68.11 M,-68.11 M,-151.13 M,-406.29 M,-8.44 B,-8.64 B,-7.15 B,-6.03 B
ICBP,UPTREND,BELOW MA200,TERKONFIRMASI,30.49,-131.62,-62.96,-367.37 M,-725.72 M,-917.37 M,-422.13 M,-2.70 B,-7.86 B,+80.08 M,+1.49 B
INDF,UPTREND,ABOVE MA200,TERKONFIRMASI,38.08,-21.53,27.88,-165.10 M,-1.82 B,-2.12 B,-2.40 B,-2.34 B,-1.34 B,+4.97 B,+24.22 B
JPFA,UPTREND,BELOW MA200,TERKONFIRMASI,51.01,22.79,29.55,-58.18 M,-418.18 M,-4.13 M,+233.81 M,+233.81 M,+1.47 B,+2.83 B,-13.91 B
